unit,indic_de,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
RT,INFMORRT,RS	8.0 	7.4 	7.1 	6.7 	7.0 	6.7 	6.3 	6.2 	6.3 	5.7 	5.3 	5.4 
RT,INFMORRT,RU	: 	10.2 	9.2 	8.4 	8.1 	7.5 	7.3 	: 	8.2 	7.4 	: 	: 
RT,INFMORRT,SE	2.4 	2.8 	2.5 	2.5 	2.5 	2.5 	2.1 	2.6 	2.7 	2.2 	2.5 	2.5 
RT,INFMORRT,SI	4.1 	3.4 	2.8 	2.4 	2.4 	2.5 	2.9 	1.6 	2.9 	1.8 	1.6 	2.0 
RT,INFMORRT,SK	7.2 	6.6 	6.1 	5.9 	5.7 	5.7 	4.9 	5.8 	5.5 	5.8 	5.1 	5.4 
RT,INFMORRT,SM	: 	: 	: 	2.9 	: 	: 	3.1 	0.0 	: 	: 	: 	: 
RT,INFMORRT,TR	25.8 	24.5 	16.5 	15.7 	13.7 	12.0 	11.7 	11.6 	10.8 	11.1 	10.7 	10.0 
RT,INFMORRT,UA	10.0 	9.6 	11.0 	9.9 	9.4 	9.2 	9.0 	8.4 	8.0 	7.8 	8.1 	7.4 
RT,INFMORRT,UK	5.1 	4.9 	4.7 	4.6 	4.5 	4.2 	4.2 	4.0 	3.9 	3.9 	3.9 	3.8 
RT,INFMORRT,XK	9.6 	12.0 	11.1 	9.7 	9.9 	8.8 	13.1 	11.4 	: 	: 	9.7 	8.5 
