,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission
99,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,56064.763
100,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,43413.613
101,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,452610.476
102,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,13142.528
103,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,9416.856
104,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,6912.295
105,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,2299.209
106,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,181663.18
107,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,294834.134
108,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,66790.738
109,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,97237.839
110,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,39251.568
111,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,15419.735
112,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2002,57425.22
113,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,72195.896
114,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,112914.264
115,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,47307.967
116,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,7748.371
117,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,122059.762
118,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,822812.461
119,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,55998.757
120,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,321097.188
121,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,17124.89
122,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,69130.284
123,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,380689.605
124,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,540006.087
125,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,95738.036
126,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,22984.756
127,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,59053.368
128,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,42687.547
129,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,468349.24
130,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,12823.499
131,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,9904.567
132,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,7370.67
133,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,2581.568
134,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,182205.896
135,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,302252.475
136,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,61216.898
137,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,101062.52
138,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,39493.59
139,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,15511.41
140,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2003,54781.313
141,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,72390.247
142,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,111102.766
143,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,46801.921
144,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,7334
145,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,116775.615
146,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,816802.248
147,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,50600.933
148,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,339428.521
149,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,17282.571
150,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,67091.432
151,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,383758.884
152,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,539239.684
153,Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,97149.831
154,Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,22376.034
155,Hungary,HUN,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,57458.223
156,Ireland,IRL,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,43761.978
157,Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,473970.751
158,Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,13245.204
159,Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,11268.691
160,Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,7403.673
161,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,2574.234
162,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,184835.135
163,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,304416.005
164,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,63145.74
165,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,96904.142
166,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,38749.189
167,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,15746.098
168,Sweden,SWE,CO2 emissions (kt),EN.ATM.CO2E.KT,2004,54520.956
169,Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,74216.413
170,Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,108510.197
171,Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,47916.689
172,Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,7502.682
173,Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,120108.918
174,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,797180.131
175,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,47095.281
176,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,353462.13
177,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,16754.523
178,Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,54645.634
179,France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,385368.697
180,United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,2005,542580.321
