,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,CO2.Emission.PC
90,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,10.0586725
91,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,9.68193193
92,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,7.591280782
93,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,10.79350419
94,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,11.86067583
95,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,6.068664472
96,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,8.904123108
97,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,8.591970187
98,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,4.836475676
99,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,5.518941473
100,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,11.04125081
101,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,7.932323042
102,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,3.817099115
103,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,21.1057455
104,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,2.992111413
105,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,5.806537886
106,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,11.24924012
107,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,7.712040984
108,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,6.410086691
109,Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,4.47471788
110,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,7.300020532
111,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,7.731011817
112,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2002,6.434228598
113,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,8.889562334
114,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,10.88211417
115,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,6.084370085
116,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,7.798570398
117,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,11.97368903
118,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,9.969354525
119,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,10.38827349
120,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,7.611166445
121,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,12.49335386
122,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,13.26109694
123,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,6.115998108
124,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,9.053277839
125,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,8.760745127
126,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,5.176746847
127,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,5.82981044
128,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,10.6811767
129,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,8.17175128
130,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,3.754816757
131,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,21.93071098
132,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,3.221510038
133,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,6.476880542
134,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,11.22973834
135,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,7.911421984
136,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,5.853135645
137,Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,4.684388286
138,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,7.349868072
139,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,7.772287175
140,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2003,6.115194532
141,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,8.858363703
142,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,10.66129022
143,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,6.064891808
144,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,7.258439643
145,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,11.4518445
146,Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,9.898682369
147,Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,9.362701019
148,Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,7.908050681
149,Estonia,EST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,12.68399031
150,Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,12.83267498
151,France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,6.120078568
152,United Kingdom,GBR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,8.989140127
153,Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,8.867967195
154,Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,5.040782609
155,Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,5.684910755
156,Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,10.75163663
157,Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,8.216487201
158,Lithuania,LTU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,3.922093528
159,Luxembourg,LUX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,24.5990264
160,Latvia,LVA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,3.271442282
161,Malta,MLT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,6.415248662
162,Netherlands,NLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,11.352269
163,Poland,POL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,7.97271581
164,Portugal,PRT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,6.02313785
165,Romania,ROU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,4.517307494
166,Slovak Republic,SVK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,7.212801455
167,Slovenia,SVN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,7.884828934
168,Sweden,SWE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2004,6.062241404
169,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,9.020169598
170,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,10.35539299
171,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,6.256282044
172,Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,7.300757645
173,Czech Republic,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2005,11.76245004
