,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Life.Exp
92,Spain,ESP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,79.56829268
93,Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,70.90487805
94,Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.1195122
95,France,FRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,79.26097561
96,United Kingdom,GBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.14390244
97,Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.64146341
98,Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,74.71731707
99,Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,72.34878049
100,Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,77.63414634
101,Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,80.22926829
102,Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,71.76097561
103,Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,77.96585366
104,Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,70.96097561
105,Malta,MLT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.73902439
106,Netherlands,NLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,78.29268293
107,Poland,POL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,74.49756098
108,Portugal,PRT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,77.06585366
109,Romania,ROU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,71.0097561
110,Slovak Republic,SVK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,73.60487805
111,Slovenia,SVN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,76.00731707
112,Sweden,SWE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2002,79.84634146
113,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.63170732
114,Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2003,78.12926829
