,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Population
119,Denmark,DNK,"Population, total",SP.POP.TOTL,2003,5390574
120,Spain,ESP,"Population, total",SP.POP.TOTL,2003,42187645
121,Estonia,EST,"Population, total",SP.POP.TOTL,2003,1370720
122,Finland,FIN,"Population, total",SP.POP.TOTL,2003,5213014
123,France,FRA,"Population, total",SP.POP.TOTL,2003,62244886
124,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2003,59647577
125,Greece,GRC,"Population, total",SP.POP.TOTL,2003,10928070
126,Croatia,HRV,"Population, total",SP.POP.TOTL,2003,4440000
127,Hungary,HUN,"Population, total",SP.POP.TOTL,2003,10129552
128,Ireland,IRL,"Population, total",SP.POP.TOTL,2003,3996521
129,Italy,ITA,"Population, total",SP.POP.TOTL,2003,57313203
130,Lithuania,LTU,"Population, total",SP.POP.TOTL,2003,3415213
131,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2003,451630
132,Latvia,LVA,"Population, total",SP.POP.TOTL,2003,2287955
133,Malta,MLT,"Population, total",SP.POP.TOTL,2003,398582
134,Netherlands,NLD,"Population, total",SP.POP.TOTL,2003,16225302
135,Poland,POL,"Population, total",SP.POP.TOTL,2003,38204570
136,Portugal,PRT,"Population, total",SP.POP.TOTL,2003,10458821
137,Romania,ROU,"Population, total",SP.POP.TOTL,2003,21574326
138,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2003,5373374
139,Slovenia,SVN,"Population, total",SP.POP.TOTL,2003,1995733
140,Sweden,SWE,"Population, total",SP.POP.TOTL,2003,8958229
141,Austria,AUT,"Population, total",SP.POP.TOTL,2004,8171966
142,Belgium,BEL,"Population, total",SP.POP.TOTL,2004,10421137
143,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2004,7716860
144,Cyprus,CYP,"Population, total",SP.POP.TOTL,2004,1010410
145,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2004,10197101
146,Germany,DEU,"Population, total",SP.POP.TOTL,2004,82516260
147,Denmark,DNK,"Population, total",SP.POP.TOTL,2004,5404523
148,Spain,ESP,"Population, total",SP.POP.TOTL,2004,42921895
149,Estonia,EST,"Population, total",SP.POP.TOTL,2004,1362550
150,Finland,FIN,"Population, total",SP.POP.TOTL,2004,5228172
151,France,FRA,"Population, total",SP.POP.TOTL,2004,62704895
152,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2004,59987905
153,Greece,GRC,"Population, total",SP.POP.TOTL,2004,10955141
154,Croatia,HRV,"Population, total",SP.POP.TOTL,2004,4439000
155,Hungary,HUN,"Population, total",SP.POP.TOTL,2004,10107146
156,Ireland,IRL,"Population, total",SP.POP.TOTL,2004,4070262
157,Italy,ITA,"Population, total",SP.POP.TOTL,2004,57685327
158,Lithuania,LTU,"Population, total",SP.POP.TOTL,2004,3377075
159,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2004,458095
160,Latvia,LVA,"Population, total",SP.POP.TOTL,2004,2263122
161,Malta,MLT,"Population, total",SP.POP.TOTL,2004,401268
162,Netherlands,NLD,"Population, total",SP.POP.TOTL,2004,16281779
163,Poland,POL,"Population, total",SP.POP.TOTL,2004,38182222
164,Portugal,PRT,"Population, total",SP.POP.TOTL,2004,10483861
165,Romania,ROU,"Population, total",SP.POP.TOTL,2004,21451748
166,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2004,5372280
167,Slovenia,SVN,"Population, total",SP.POP.TOTL,2004,1997012
168,Sweden,SWE,"Population, total",SP.POP.TOTL,2004,8993531
169,Austria,AUT,"Population, total",SP.POP.TOTL,2005,8227829
170,Belgium,BEL,"Population, total",SP.POP.TOTL,2005,10478617
171,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2005,7658972
172,Cyprus,CYP,"Population, total",SP.POP.TOTL,2005,1027658
173,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2005,10211216
174,Germany,DEU,"Population, total",SP.POP.TOTL,2005,82469422
175,Denmark,DNK,"Population, total",SP.POP.TOTL,2005,5419432
176,Spain,ESP,"Population, total",SP.POP.TOTL,2005,43653155
177,Estonia,EST,"Population, total",SP.POP.TOTL,2005,1354775
178,Finland,FIN,"Population, total",SP.POP.TOTL,2005,5246096
179,France,FRA,"Population, total",SP.POP.TOTL,2005,63179351
180,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2005,60401206
181,Greece,GRC,"Population, total",SP.POP.TOTL,2005,10987314
182,Croatia,HRV,"Population, total",SP.POP.TOTL,2005,4442000
183,Hungary,HUN,"Population, total",SP.POP.TOTL,2005,10087065
184,Ireland,IRL,"Population, total",SP.POP.TOTL,2005,4159914
185,Italy,ITA,"Population, total",SP.POP.TOTL,2005,57969484
186,Lithuania,LTU,"Population, total",SP.POP.TOTL,2005,3322528
187,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2005,465158
188,Latvia,LVA,"Population, total",SP.POP.TOTL,2005,2238799
189,Malta,MLT,"Population, total",SP.POP.TOTL,2005,403834
190,Netherlands,NLD,"Population, total",SP.POP.TOTL,2005,16319868
191,Poland,POL,"Population, total",SP.POP.TOTL,2005,38165445
192,Portugal,PRT,"Population, total",SP.POP.TOTL,2005,10503330
193,Romania,ROU,"Population, total",SP.POP.TOTL,2005,21319685
194,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2005,5372807
195,Slovenia,SVN,"Population, total",SP.POP.TOTL,2005,2000474
196,Sweden,SWE,"Population, total",SP.POP.TOTL,2005,9029572
197,Austria,AUT,"Population, total",SP.POP.TOTL,2006,8268641
198,Belgium,BEL,"Population, total",SP.POP.TOTL,2006,10547958
199,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2006,7601022
200,Cyprus,CYP,"Population, total",SP.POP.TOTL,2006,1045509
201,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2006,10238905
202,Germany,DEU,"Population, total",SP.POP.TOTL,2006,82376451
203,Denmark,DNK,"Population, total",SP.POP.TOTL,2006,5437272
204,Spain,ESP,"Population, total",SP.POP.TOTL,2006,44397319
205,Estonia,EST,"Population, total",SP.POP.TOTL,2006,1346810
206,Finland,FIN,"Population, total",SP.POP.TOTL,2006,5266268
207,France,FRA,"Population, total",SP.POP.TOTL,2006,63621381
208,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2006,60846820
209,Greece,GRC,"Population, total",SP.POP.TOTL,2006,11020362
210,Croatia,HRV,"Population, total",SP.POP.TOTL,2006,4440000
211,Hungary,HUN,"Population, total",SP.POP.TOTL,2006,10071370
212,Ireland,IRL,"Population, total",SP.POP.TOTL,2006,4273591
213,Italy,ITA,"Population, total",SP.POP.TOTL,2006,58143979
214,Lithuania,LTU,"Population, total",SP.POP.TOTL,2006,3269909
215,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2006,472637
216,Latvia,LVA,"Population, total",SP.POP.TOTL,2006,2218357
217,Malta,MLT,"Population, total",SP.POP.TOTL,2006,405308
218,Netherlands,NLD,"Population, total",SP.POP.TOTL,2006,16346101
219,Poland,POL,"Population, total",SP.POP.TOTL,2006,38141267
220,Portugal,PRT,"Population, total",SP.POP.TOTL,2006,10522288
221,Romania,ROU,"Population, total",SP.POP.TOTL,2006,21193760
222,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2006,5373054
223,Slovenia,SVN,"Population, total",SP.POP.TOTL,2006,2006868
224,Sweden,SWE,"Population, total",SP.POP.TOTL,2006,9080505
225,Austria,AUT,"Population, total",SP.POP.TOTL,2007,8295487
226,Belgium,BEL,"Population, total",SP.POP.TOTL,2007,10625700
227,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2007,7545338
228,Cyprus,CYP,"Population, total",SP.POP.TOTL,2007,1063712
229,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2007,10298828
230,Germany,DEU,"Population, total",SP.POP.TOTL,2007,82266372
231,Denmark,DNK,"Population, total",SP.POP.TOTL,2007,5461438
232,Spain,ESP,"Population, total",SP.POP.TOTL,2007,45226803
233,Estonia,EST,"Population, total",SP.POP.TOTL,2007,1340680
234,Finland,FIN,"Population, total",SP.POP.TOTL,2007,5288720
235,France,FRA,"Population, total",SP.POP.TOTL,2007,64016227
236,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2007,61322463
237,Greece,GRC,"Population, total",SP.POP.TOTL,2007,11048473
238,Croatia,HRV,"Population, total",SP.POP.TOTL,2007,4436000
239,Hungary,HUN,"Population, total",SP.POP.TOTL,2007,10055780
240,Ireland,IRL,"Population, total",SP.POP.TOTL,2007,4398942
241,Italy,ITA,"Population, total",SP.POP.TOTL,2007,58438310
242,Lithuania,LTU,"Population, total",SP.POP.TOTL,2007,3231294
243,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2007,479993
244,Latvia,LVA,"Population, total",SP.POP.TOTL,2007,2200325
245,Malta,MLT,"Population, total",SP.POP.TOTL,2007,406724
246,Netherlands,NLD,"Population, total",SP.POP.TOTL,2007,16381696
247,Poland,POL,"Population, total",SP.POP.TOTL,2007,38120560
248,Portugal,PRT,"Population, total",SP.POP.TOTL,2007,10542964
249,Romania,ROU,"Population, total",SP.POP.TOTL,2007,20882982
250,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2007,5374622
251,Slovenia,SVN,"Population, total",SP.POP.TOTL,2007,2018122
252,Sweden,SWE,"Population, total",SP.POP.TOTL,2007,9148092
253,Austria,AUT,"Population, total",SP.POP.TOTL,2008,8321496
254,Belgium,BEL,"Population, total",SP.POP.TOTL,2008,10709973
255,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2008,7492561
256,Cyprus,CYP,"Population, total",SP.POP.TOTL,2008,1081563
257,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2008,10384603
258,Germany,DEU,"Population, total",SP.POP.TOTL,2008,82110097
259,Denmark,DNK,"Population, total",SP.POP.TOTL,2008,5493621
260,Spain,ESP,"Population, total",SP.POP.TOTL,2008,45954106
261,Estonia,EST,"Population, total",SP.POP.TOTL,2008,1337090
262,Finland,FIN,"Population, total",SP.POP.TOTL,2008,5313399
263,France,FRA,"Population, total",SP.POP.TOTL,2008,64374989
264,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2008,61806995
265,Greece,GRC,"Population, total",SP.POP.TOTL,2008,11077841
266,Croatia,HRV,"Population, total",SP.POP.TOTL,2008,4434508
267,Hungary,HUN,"Population, total",SP.POP.TOTL,2008,10038188
268,Ireland,IRL,"Population, total",SP.POP.TOTL,2008,4489544
269,Italy,ITA,"Population, total",SP.POP.TOTL,2008,58826731
270,Lithuania,LTU,"Population, total",SP.POP.TOTL,2008,3198231
271,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2008,488650
272,Latvia,LVA,"Population, total",SP.POP.TOTL,2008,2177322
273,Malta,MLT,"Population, total",SP.POP.TOTL,2008,409379
274,Netherlands,NLD,"Population, total",SP.POP.TOTL,2008,16445593
275,Poland,POL,"Population, total",SP.POP.TOTL,2008,38125759
276,Portugal,PRT,"Population, total",SP.POP.TOTL,2008,10558177
277,Romania,ROU,"Population, total",SP.POP.TOTL,2008,20537875
278,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2008,5379233
279,Slovenia,SVN,"Population, total",SP.POP.TOTL,2008,2021316
280,Sweden,SWE,"Population, total",SP.POP.TOTL,2008,9219637
281,Austria,AUT,"Population, total",SP.POP.TOTL,2009,8343323
282,Belgium,BEL,"Population, total",SP.POP.TOTL,2009,10796493
283,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2009,7444443
284,Cyprus,CYP,"Population, total",SP.POP.TOTL,2009,1098076
285,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2009,10443936
286,Germany,DEU,"Population, total",SP.POP.TOTL,2009,81902307
287,Denmark,DNK,"Population, total",SP.POP.TOTL,2009,5523095
288,Spain,ESP,"Population, total",SP.POP.TOTL,2009,46362946
289,Estonia,EST,"Population, total",SP.POP.TOTL,2009,1334515
290,Finland,FIN,"Population, total",SP.POP.TOTL,2009,5338871
291,France,FRA,"Population, total",SP.POP.TOTL,2009,64707044
292,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2009,62276270
293,Greece,GRC,"Population, total",SP.POP.TOTL,2009,11107017
294,Croatia,HRV,"Population, total",SP.POP.TOTL,2009,4429078
295,Hungary,HUN,"Population, total",SP.POP.TOTL,2009,10022650
296,Ireland,IRL,"Population, total",SP.POP.TOTL,2009,4535375
297,Italy,ITA,"Population, total",SP.POP.TOTL,2009,59095365
298,Lithuania,LTU,"Population, total",SP.POP.TOTL,2009,3162916
299,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2009,497783
300,Latvia,LVA,"Population, total",SP.POP.TOTL,2009,2141669
301,Malta,MLT,"Population, total",SP.POP.TOTL,2009,412477
302,Netherlands,NLD,"Population, total",SP.POP.TOTL,2009,16530388
303,Poland,POL,"Population, total",SP.POP.TOTL,2009,38151603
304,Portugal,PRT,"Population, total",SP.POP.TOTL,2009,10568247
305,Romania,ROU,"Population, total",SP.POP.TOTL,2009,20367487
306,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2009,5386406
307,Slovenia,SVN,"Population, total",SP.POP.TOTL,2009,2039669
308,Sweden,SWE,"Population, total",SP.POP.TOTL,2009,9298515
309,Austria,AUT,"Population, total",SP.POP.TOTL,2010,8363404
310,Belgium,BEL,"Population, total",SP.POP.TOTL,2010,10895586
311,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2010,7395599
312,Cyprus,CYP,"Population, total",SP.POP.TOTL,2010,1112607
313,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2010,10474410
314,Germany,DEU,"Population, total",SP.POP.TOTL,2010,81776930
315,Denmark,DNK,"Population, total",SP.POP.TOTL,2010,5547683
316,Spain,ESP,"Population, total",SP.POP.TOTL,2010,46576897
317,Estonia,EST,"Population, total",SP.POP.TOTL,2010,1331475
318,Finland,FIN,"Population, total",SP.POP.TOTL,2010,5363352
319,France,FRA,"Population, total",SP.POP.TOTL,2010,65027507
320,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2010,62766365
321,Greece,GRC,"Population, total",SP.POP.TOTL,2010,11121341
322,Croatia,HRV,"Population, total",SP.POP.TOTL,2010,4417781
323,Hungary,HUN,"Population, total",SP.POP.TOTL,2010,10000023
324,Ireland,IRL,"Population, total",SP.POP.TOTL,2010,4560155
325,Italy,ITA,"Population, total",SP.POP.TOTL,2010,59277417
326,Lithuania,LTU,"Population, total",SP.POP.TOTL,2010,3097282
327,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2010,506953
328,Latvia,LVA,"Population, total",SP.POP.TOTL,2010,2097555
329,Malta,MLT,"Population, total",SP.POP.TOTL,2010,414508
330,Netherlands,NLD,"Population, total",SP.POP.TOTL,2010,16615394
331,Poland,POL,"Population, total",SP.POP.TOTL,2010,38042794
332,Portugal,PRT,"Population, total",SP.POP.TOTL,2010,10573100
333,Romania,ROU,"Population, total",SP.POP.TOTL,2010,20246871
334,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2010,5391428
335,Slovenia,SVN,"Population, total",SP.POP.TOTL,2010,2048583
336,Sweden,SWE,"Population, total",SP.POP.TOTL,2010,9378126
337,Austria,AUT,"Population, total",SP.POP.TOTL,2011,8391643
338,Belgium,BEL,"Population, total",SP.POP.TOTL,2011,11047744
339,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2011,7348328
340,Cyprus,CYP,"Population, total",SP.POP.TOTL,2011,1124835
341,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2011,10496088
342,Germany,DEU,"Population, total",SP.POP.TOTL,2011,80274983
343,Denmark,DNK,"Population, total",SP.POP.TOTL,2011,5570572
344,Spain,ESP,"Population, total",SP.POP.TOTL,2011,46742697
345,Estonia,EST,"Population, total",SP.POP.TOTL,2011,1327439
346,Finland,FIN,"Population, total",SP.POP.TOTL,2011,5388272
347,France,FRA,"Population, total",SP.POP.TOTL,2011,65342775
348,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2011,63258918
349,Greece,GRC,"Population, total",SP.POP.TOTL,2011,11104899
350,Croatia,HRV,"Population, total",SP.POP.TOTL,2011,4280622
351,Hungary,HUN,"Population, total",SP.POP.TOTL,2011,9971727
