,Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Population
424,Cyprus,CYP,"Population, total",SP.POP.TOTL,2014,1152309
425,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2014,10525347
426,Germany,DEU,"Population, total",SP.POP.TOTL,2014,80982500
427,Denmark,DNK,"Population, total",SP.POP.TOTL,2014,5643475
428,Spain,ESP,"Population, total",SP.POP.TOTL,2014,46480882
429,Estonia,EST,"Population, total",SP.POP.TOTL,2014,1314545
430,Finland,FIN,"Population, total",SP.POP.TOTL,2014,5461512
431,France,FRA,"Population, total",SP.POP.TOTL,2014,66316092
432,United Kingdom,GBR,"Population, total",SP.POP.TOTL,2014,64613160
433,Greece,GRC,"Population, total",SP.POP.TOTL,2014,10892413
434,Croatia,HRV,"Population, total",SP.POP.TOTL,2014,4238389
435,Hungary,HUN,"Population, total",SP.POP.TOTL,2014,9866468
436,Ireland,IRL,"Population, total",SP.POP.TOTL,2014,4657740
437,Italy,ITA,"Population, total",SP.POP.TOTL,2014,60789140
438,Lithuania,LTU,"Population, total",SP.POP.TOTL,2014,2932367
439,Luxembourg,LUX,"Population, total",SP.POP.TOTL,2014,556319
440,Latvia,LVA,"Population, total",SP.POP.TOTL,2014,1993782
441,Malta,MLT,"Population, total",SP.POP.TOTL,2014,434558
442,Netherlands,NLD,"Population, total",SP.POP.TOTL,2014,16865008
443,Poland,POL,"Population, total",SP.POP.TOTL,2014,38011735
444,Portugal,PRT,"Population, total",SP.POP.TOTL,2014,10401062
445,Romania,ROU,"Population, total",SP.POP.TOTL,2014,19908979
446,Slovak Republic,SVK,"Population, total",SP.POP.TOTL,2014,5418649
447,Slovenia,SVN,"Population, total",SP.POP.TOTL,2014,2061980
448,Sweden,SWE,"Population, total",SP.POP.TOTL,2014,9696110
